id,summerProducts,winterProducts,discountPreference,locality,monthlyBudget,favoriteBrands,shoppingFrequency,gender,ageGroup,shoppingTime,submittedAt,favoriteCategories,nextPurchase,purchaseFactor,trendSource,preferredFit,nextColor,city,preferredSize,outOfStockBehaviour,shoppingMode,shoppingSeason,revisitReason,occupation,trendPurchaseSpeed,trendFollower,brandReason,leastPurchased,name,favoriteColors
synthetic_082,T-Shirts,Hoodies,10%,Semi-Urban,"₹1,000-₹2,000",Myntra,Every 2-3 months,Female,18-21,Evening,2026-06-01T11:08:40,Ethnic,Shoes,Price,YouTube,Slim,Black,Kolkata,M,Buy another brand,Online,Summer,Good Service,Teacher,Only if needed,Sometimes,Price,Accessories,Customer 082,"Black, White"
synthetic_083,Kurtas,Shawls,30%,Urban,"₹1,000-₹2,000",Adidas,Every 2-3 months,Male,18-21,Morning,2026-06-17T11:08:40,Formal,Shirt,Brand,Online Stores,Regular,Green,Patna,S,Buy another product,Online,Monsoon,New Collection,Teacher,Within a week,Sometimes,Quality,Sportswear,Customer 083,White
synthetic_084,Shorts,Thermals,10%,Semi-Urban,"₹10,000+",Roadster,Every 2-3 months,Other,31-40,Afternoon,2026-05-10T23:08:40,Formal,Dress,Reviews,Celebrities,Oversized,Blue,Delhi,M,Visit another store,Both,All Seasons,New Collection,Working Professional,Immediately,No,Quality,Accessories,Customer 084,"Green, Black"
synthetic_085,Kurtas,Sweaters,40%,Rural,"₹1,000-₹2,000",H&M,Monthly,Other,18-21,Afternoon,2026-07-21T04:08:40,Party Wear,Hoodie,Design,Friends,Slim,Beige,Bengaluru,M,Buy another product,Offline,All Seasons,Good Service,Other,Within a week,No,Quality,Sportswear,Customer 085,"Black, White"
synthetic_086,T-Shirts,Sweaters,30%,Semi-Urban,"₹5,000-₹10,000",H&M,Monthly,Male,18-21,Afternoon,2026-05-26T12:08:40,Party Wear,Shirt,Design,Instagram,Relaxed,Black,Ranchi,XXL,Buy another brand,Both,All Seasons,Discounts,Working Professional,Within a week,Sometimes,Trust,Accessories,Customer 086,Blue
synthetic_087,Shirts,Hoodies,10%,Semi-Urban,"₹2,000-₹5,000",Myntra,Every 2-3 months,Male,26-30,Afternoon,2026-08-24T00:08:40,Ethnic,Shoes,Price,YouTube,Regular,Green,Patna,S,Buy another product,Online,Summer,Good Quality,Other,Immediately,Sometimes,Style,Winter Wear,Customer 087,White
synthetic_088,Dresses,Sweaters,10%,Rural,"₹10,000+",Myntra,Rarely,Male,18-21,Night,2026-06-28T07:08:40,Formal,Hoodie,Reviews,Instagram,Slim,Blue,Hyderabad,M,Wait,Online,Winter,Variety,Other,Within a week,Sometimes,Price,Sportswear,Customer 088,"Blue, Grey"
synthetic_089,Jeans,Hoodies,40%,Semi-Urban,"₹10,000+",H&M,Monthly,Female,22-25,Morning,2026-06-21T02:08:40,Sportswear,T-Shirt,Reviews,YouTube,Slim,Red,Bengaluru,S,Buy another brand,Online,All Seasons,Good Quality,Other,Immediately,Sometimes,Style,Ethnic Wear,Customer 089,Black
synthetic_090,Shorts,Sweaters,20%,Urban,"₹1,000-₹2,000",Zara,Rarely,Other,31-40,Morning,2026-08-21T21:08:40,Streetwear,Hoodie,Price,Friends,Slim,Grey,Hyderabad,M,Wait,Both,Summer,Variety,Student,Only if needed,No,Style,Sportswear,Customer 090,"Black, White"
synthetic_091,Kurtas,Hoodies,20%,Semi-Urban,"₹1,000-₹2,000",Myntra,Every 2-3 months,Male,26-30,Morning,2026-08-22T07:08:40,Ethnic,Dress,Quality,Friends,Relaxed,Black,Ranchi,XL,Wait,Online,Winter,Variety,Business,Only if needed,No,Trust,Accessories,Customer 091,"White, Beige"
synthetic_092,Jeans,Thermals,40%,Urban,"₹1,000-₹2,000",Roadster,Every 2-3 months,Female,18-21,Afternoon,2026-08-09T20:08:40,Sportswear,T-Shirt,Price,Online Stores,Relaxed,Blue,Kolkata,XL,Wait,Offline,Winter,New Collection,Business,Immediately,Yes,Price,Formal Wear,Customer 092,"Black, White"
synthetic_093,T-Shirts,Jackets,10%,Rural,"₹1,000-₹2,000",Levi's,Every 2-3 months,Male,26-30,Night,2026-06-10T01:08:40,Ethnic,Dress,Brand,Online Stores,Slim,Black,Chennai,XL,Wait,Both,Winter,Discounts,Teacher,Only if needed,No,Style,Winter Wear,Customer 093,White
synthetic_094,Shorts,Coats,30%,Rural,"₹10,000+",Nike,Every 2-3 months,Other,26-30,Afternoon,2026-08-18T11:08:40,Sportswear,Jacket,Reviews,Friends,Regular,Grey,Chennai,L,Buy another product,Offline,Summer,Discounts,Working Professional,Within a week,No,Price,Winter Wear,Customer 094,"Green, Black"
synthetic_095,Kurtas,Jackets,40%,Urban,"₹2,000-₹5,000",Puma,Monthly,Male,26-30,Night,2026-08-11T21:08:40,Formal,Shirt,Brand,Friends,Regular,Green,Ranchi,M,Wait,Both,Winter,Discounts,Working Professional,Within a week,Sometimes,Availability,Winter Wear,Customer 095,White
synthetic_096,Shorts,Jackets,20%,Urban,"₹10,000+",H&M,Monthly,Male,26-30,Morning,2026-08-29T05:08:40,Sportswear,Shoes,Brand,Celebrities,Regular,Grey,Hyderabad,M,Buy another brand,Online,Monsoon,Good Service,Working Professional,Only if needed,No,Price,Formal Wear,Customer 096,"White, Beige"
synthetic_097,Shorts,Shawls,20%,Rural,"₹5,000-₹10,000",Adidas,Rarely,Male,26-30,Evening,2026-05-26T01:08:40,Streetwear,Shirt,Comfort,Friends,Relaxed,Blue,Hyderabad,XL,Buy another brand,Offline,All Seasons,Variety,Business,Within a week,Yes,Quality,Ethnic Wear,Customer 097,White
synthetic_098,Shirts,Sweaters,20%,Semi-Urban,"₹10,000+",Levi's,Every 2-3 months,Other,26-30,Night,2026-08-16T18:08:40,Casual,T-Shirt,Quality,Celebrities,Slim,Green,Delhi,XXL,Buy another product,Offline,All Seasons,New Collection,Teacher,Immediately,Yes,Price,Formal Wear,Customer 098,"Green, Black"
synthetic_099,Shorts,Coats,30%,Semi-Urban,"₹1,000-₹2,000",Nike,Monthly,Male,31-40,Afternoon,2026-06-19T18:08:40,Sportswear,Shoes,Reviews,Friends,Relaxed,Grey,Mumbai,XXL,Buy another brand,Both,Summer,New Collection,Other,Within a month,Sometimes,Availability,Winter Wear,Customer 099,"Black, White"
